,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
164,332,-999.0,-999.0,-999.0,19880304_000000,138,138,-133.9014,43.21061,F001,1440000.0,184.39441,532.84246,0.9279,0.77752,0.0,636.79215,7.73018,64.41834,64,,
165,335,1355.0,2109.0,2167.0,19880307_000000,139,139,-150.24732,42.39179,F001,1440000.0,119.01073,529.56716,0.84254,0.27752,0.0,740.81523,17.83101,101.244,67,,
166,336,187.0,675.0,418.0,19880308_000000,140,140,-136.54588,45.78557,F001,1440000.0,173.81649,543.14229,0.84152,0.16562,0.0,590.95178,12.05399,65.12842,68,,
167,337,-999.0,-999.0,-999.0,19880309_000000,1760,235,-157.18997,41.93856,O001,1440000.0,91.24011,527.75424,,,,810.57275,,69.03328,69,1988-03-09,4 days
168,338,1678.0,2889.0,2114.0,19880310_000000,141,141,-147.53599,41.41523,F001,1440000.0,129.85603,525.6609,0.91972,0.67949,0.0,824.34267,10.1436,109.65315,70,,
170,349,-999.0,-999.0,-999.0,19880321_000000,1363,27,-132.59292,41.02877,F001,1440000.0,189.6283,524.11509,,,,578.28523,,80.59368,81,,
171,350,-999.0,-999.0,-999.0,19880322_000000,1764,71,-145.13477,38.11344,O001,1440000.0,139.46093,512.45375,,,,659.6182,,102.30442,82,,
172,352,681.0,1138.0,1451.0,19880324_000000,142,242,-143.35189,43.1345,F001,1440000.0,146.59245,532.53798,0.91734,0.81634,0.0,716.59171,9.97382,103.86869,84,1988-03-24,6 days
173,353,-999.0,-999.0,-999.0,19880325_000000,1765,72,-134.63959,44.88774,O001,1440000.0,181.44165,539.55096,,,,572.20491,,100.29114,85,,
175,359,167.0,955.0,1033.0,19880331_000000,144,144,-146.70284,47.2519,F001,1440000.0,133.18864,549.00762,0.96845,0.32565,0.0,703.12178,2.83903,131.04488,91,,
176,365,3765.0,5382.0,4306.0,19881207_000000,145,145,-145.00066,40.11611,F001,1440000.0,139.99738,520.46446,0.83525,0.77786,0.0,1086.60267,20.6706,125.7668,342,,
177,366,2864.0,3236.0,3839.0,19881208_000000,146,146,-143.68823,45.61999,F001,1440000.0,145.24709,542.47995,0.921,0.67151,0.0,1086.94311,9.57563,124.57632,343,,
178,368,1517.0,3375.0,1531.0,19881210_000000,147,147,-153.05152,38.38343,F001,1440000.0,107.79392,513.53373,0.93161,0.95118,0.0,719.04855,2.3752,61.06664,345,,
179,369,1253.0,2063.0,2636.0,19881211_000000,148,250,-140.79075,44.60784,F001,1440000.0,156.83701,538.43137,0.89975,0.66747,0.0,753.35859,12.33013,118.87895,346,1988-12-11,256 days
180,370,-999.0,-999.0,-999.0,19881212_000000,1364,28,-142.86521,44.5459,F001,1440000.0,148.53917,538.1836,,,,714.5309,,113.51089,347,,
181,374,834.0,1659.0,2063.0,19881216_000000,151,151,-146.28706,45.30291,F001,1440000.0,134.85175,541.21164,0.92847,0.3695,0.0,945.72276,8.74229,153.83622,351,,
183,377,-999.0,-999.0,-999.0,19881219_000000,1366,30,-152.23309,50.13466,F001,1440000.0,111.06763,560.53865,,,,922.63167,,78.64473,354,,
185,378,-999.0,-999.0,-999.0,19881220_000000,1368,32,-146.09516,47.44929,F001,1440000.0,135.61937,549.79716,,,,715.99027,,121.90176,355,,
186,381,-999.0,-999.0,-999.0,19881223_000000,1767,74,-152.73773,36.68142,O001,1440000.0,109.04909,506.7257,,,,827.64662,,60.5283,358,,
187,382,-999.0,-999.0,-999.0,19881224_000000,1768,75,-134.38093,36.38344,O001,1440000.0,182.47628,505.53376,,,,962.21345,,81.9511,359,,
